"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal"
1,0.1153,0.10051505521498,0.0176045235634689,0.0660108230655943,0.135019287364366,0.0977698053776985,0.0184447650465986,0.061618730183062,0.133920880572335,0.098194467391464,0.583222489895688,0.0620459629576477,0.13434297182528,0.106186803456533,0.0162011492964,0.0744331343274327,0.137940472585634,0.103215285983567,0.0180277161880009,0.067881611531575,0.138548960435558,0.103246315106633,0.570179471656535,0.0679062253187138,0.138586404894552
2,0.1153,0.106392367488119,0.0186204528361479,0.0698969505534428,0.142887784422796,0.104835112649841,0.0192430771615121,0.0671193744615516,0.14255085083813,0.105000773128507,0.607967797616798,0.0673185386322013,0.142683007624812,0.114098735800415,0.0163576663640406,0.0820382988557727,0.146159172745057,0.114612166600783,0.0178383377690108,0.0796496670294617,0.149574666172105,0.114601205545053,0.564105363959838,0.0796375928525987,0.149564818237508
3,0.1153,0.1165066743827,0.0171957306757545,0.0828036615703705,0.150209687195029,0.116186337034329,0.01750868658423,0.0818699419126385,0.150502732156019,0.116226449041656,0.55388121693552,0.0818965355470958,0.150556362536217,0.115104344558111,0.0163638494709625,0.0830317889465897,0.147176900169632,0.117828515590941,0.0177063382998825,0.0831247302250895,0.152532300956793,0.117828104282692,0.559926472363354,0.0831235019748185,0.152532706590566
4,0.1153,0.11179698281746,0.0194469789605354,0.0736816044467026,0.149912361188218,0.117835700595908,0.0199229721255562,0.078787392764822,0.156884008426993,0.11795854852101,0.630147482438447,0.0789016029170116,0.157015494125008,0.118436342775936,0.017430608012298,0.084272978843197,0.152599706708676,0.119808801651553,0.0188984416225691,0.0827685367073844,0.156849066595721,0.119803996599402,0.597664875885666,0.0827603438079031,0.156847649390901
5,0.1153,0.12039006069117,0.0172446303045139,0.0865912063676148,0.154188915014725,0.120057392968515,0.0174124969677037,0.0859295260309033,0.154185259906128,0.119372684982432,0.551682968238951,0.0851790203536663,0.153566349611197,0.118560795068165,0.0160686438226717,0.087066831895327,0.150054758241004,0.121377994301053,0.0173534021971039,0.0873659509854909,0.155390037616615,0.121516256705146,0.549350122829417,0.087467183332875,0.155565330077416
6,0.1153,0.103206021038814,0.0168316917543416,0.0702165114014246,0.136195530676203,0.104415817835492,0.0172210041826002,0.0706632698599818,0.138168365811002,0.104420048965593,0.544562940758192,0.0706676882121343,0.138172409719051,0.11002444685922,0.0156276625445344,0.0793947911093867,0.140654102609053,0.112594106207506,0.017093782799076,0.0790909075617672,0.146097304853246,0.112583183421945,0.540451316577671,0.0790856637754309,0.146080703068459
7,0.1153,0.120672309323828,0.0174430863067699,0.0864844883833356,0.154860130264321,0.125425752943617,0.0190790117847501,0.0880315769848918,0.162819928902343,0.125995015132617,0.608302405356392,0.0882920414337471,0.163697988831487,0.123845754915282,0.0161981587673403,0.0920979471154338,0.155593562715131,0.125219363022816,0.0173663206992325,0.0911819999083476,0.159256726137284,0.125221377949687,0.549145880196849,0.0911849636669356,0.159257792232439
8,0.1153,0.159818383598568,0.0169086689225302,0.126678001483897,0.192958765713239,0.159000351352588,0.017066184163003,0.125551245039574,0.192449457665601,0.15951634488002,0.540212039373726,0.126033655788255,0.192999033971784,0.166182713747152,0.0162896840331385,0.134255519722663,0.19810990777164,0.166516627330592,0.0174185227241969,0.132376950127273,0.20065630453391,0.166558826778195,0.550767262160425,0.132421918200187,0.200695735356202
9,0.1153,0.131836952856395,0.0210359507761975,0.0906072469544907,0.1730666587583,0.135139465301498,0.0220020959933823,0.0920161495700754,0.17826278103292,0.135224642994903,0.69647115787814,0.0920569133981136,0.178392372591692,0.136692473467698,0.017813755368083,0.101778154516848,0.171606792418547,0.133832384095915,0.0205374007531056,0.0935798182837621,0.174084949908067,0.133837850942504,0.652485608050102,0.0933963739689066,0.174279327916101
10,0.1153,0.119518433634274,0.0184604742918539,0.0833365688847128,0.155700298383835,0.112566324956118,0.0191029314304288,0.0751252673533397,0.150007382558897,0.112558427965723,0.604366926106876,0.075099377797864,0.150017478133582,0.119396903031566,0.0175876360739393,0.0849257697534475,0.153868036309684,0.11449866779746,0.0190657736008387,0.0771304382024218,0.151866897392498,0.114378733252645,0.603150949795468,0.0769950500773929,0.151762416427897
