"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal","tmle_hal2","tmle_lower_hal2","tmle_upper_hal2","tmle_lower_boot","tmle_upper_boot","tmle_lower_pl","tmle_upper_pl"
1,0.1153,0.100144597568921,0.0242123577489981,0.0526892484000859,0.147599946737757,0.10355942552906,0.0248625537355518,0.0548297156436868,0.152289135414434,0.102464894664362,0.55676555563237,0.0536622419713244,0.151267547357399,0.104769209689309,0.0229759328785033,0.0597372087362326,0.149801210642385,0.105106117794084,0.025755433796505,0.0546263951467283,0.155585840441439,0.1052687248848,0.575827086313151,0.0547952553601522,0.155742194409449,0.100851109991796,0.0557672650485288,0.145934954935064,0.0589254492698568,0.144019046744742,-0.0840731517901132,0.332730043390391
2,0.1153,0.113913313113539,0.0241325363547162,0.0666144110026919,0.161212215224386,0.115673412338231,0.0253700560951818,0.065949016105914,0.165397808570549,0.115691762028662,0.567331054232871,0.0659630025506186,0.165420521506706,0.12433934948713,0.022093048715182,0.0810377696966845,0.167640929277576,0.115569717018554,0.0248610410625266,0.0668429719178301,0.164296462119277,0.115370534425138,0.558092757714113,0.0664515473403744,0.164289521509902,0.12353356361544,0.0805664258357991,0.166500701395081,0.0847140987352289,0.168336258566857,-0.0845583496847798,0.34778059305268
3,0.1153,0.14767988973986,0.0237798911380744,0.101072159552951,0.194287619926769,0.141469755124917,0.0251759034003584,0.0921258911819553,0.190813619067879,0.141721506740589,0.561330612606051,0.092518709161151,0.190924304320028,0.15222823290985,0.0221405341238941,0.108833583428538,0.195622882391163,0.151122203777687,0.0250748356740328,0.101976428938323,0.200267978617051,0.150900215718483,0.561278080878508,0.101702022747984,0.200098408688982,0.150453581180123,0.107537759178217,0.193369403182029,0.110767533661608,0.197111961174045,-0.132600017302484,0.460425641808069
4,0.1153,0.0913288715860769,0.0247953181402147,0.0427309410460434,0.13992680212611,0.0919863182881329,0.026938261463112,0.0391882960143102,0.144784340561956,0.0899720710581258,0.613748909093473,0.0361746072096315,0.14376953490662,0.11309744643163,0.0218322731240928,0.0703069774077662,0.155887915455494,0.119556944397281,0.0247922217811924,0.0709650826094145,0.168148806185148,0.120158560231007,0.554784305547244,0.0715295717649038,0.16878754869711,0.107476023266086,0.0645277350372591,0.150424311494913,0.0762773131126347,0.154019664177588,-0.0557723284573135,0.315819820534809
5,0.1153,0.0798666336860515,0.0329456309337018,0.0152943836080472,0.144438883764056,0.0785940127660292,0.0376336909314161,0.00483333393514207,0.152354691596916,0.07547520424164,0.853239275414867,0.000685484222347932,0.150264924260932,0.105709014693309,0.0253047133148651,0.0561126879570627,0.155305341429556,0.103578648949783,0.0301114055571868,0.0445613785338171,0.162595919365748,0.103381760891963,0.675926226697975,0.0441342148576362,0.16262930692629,0.100971165495256,0.0499969768128976,0.151945354177615,0.0455863299072028,0.154948047838323,-0.106797490364157,0.290287473720311
6,0.1153,0.135869590488414,0.0271481706830288,0.0826601537035311,0.189079027273296,0.139183658913607,0.0282705631116371,0.0837743733921315,0.194592944435082,0.139477219595189,0.64403195153233,0.0830253300415099,0.195929109148868,0.130933464316777,0.0232986561715994,0.0852689373322605,0.176597991301294,0.133880498358207,0.0259603690167042,0.0829991100600972,0.184761886656317,0.133865738629181,0.580284023405198,0.0830016013436096,0.184729875914752,0.132590087883041,0.0873118655619184,0.177868310204164,0.0947647344750978,0.178326581511653,-0.106312020470392,0.38270494949793
7,0.1153,0.104897416027301,0.0244106384361572,0.0570534438528033,0.152741388201798,0.111309721916236,0.0256436934215603,0.0610490063793911,0.161570437453081,0.112280754666572,0.574322820042037,0.0619391398941515,0.162622369438992,0.116315331552892,0.0218630648852718,0.0734645117860966,0.159166151319687,0.11263926859607,0.0244452666978125,0.0647274262758809,0.160551110916259,0.112705175172955,0.546462278599228,0.0648056445311324,0.160604705814777,0.115507861626016,0.0732600774385964,0.157755645813435,0.0686225184956743,0.154909353466874,-0.148278189138689,0.364440489803841
8,0.1153,0.119586367617386,0.0245801614455833,0.0714101364498628,0.167762598784909,0.121278437090478,0.0257559802169102,0.0707976434788075,0.171759230702148,0.121438108482999,0.576156912005359,0.0709357284617456,0.171940488504253,0.1273667238532,0.0226394047343759,0.0829943059423981,0.171739141764003,0.125767894596825,0.0250752393659277,0.0766213285358861,0.174914460657764,0.125820599408777,0.560694370260981,0.076673570929781,0.174967627887772,0.12654104616956,0.0817777574624192,0.171304334876702,0.0870591161566011,0.175216896186012,-0.11413202604226,0.400097777158859
9,0.1153,0.107058185519255,0.0236238839869958,0.0607562237297902,0.153360147308719,0.103883546096575,0.0242733503732887,0.0563086535808073,0.151458438612343,0.10423222942172,0.543120042984945,0.0566256586482873,0.151838800195152,0.113364096298179,0.0207148701783103,0.0727636968042678,0.15396449579209,0.113410518249398,0.0233291371982072,0.0676862495505183,0.159134786948278,0.11348923547172,0.521879141682924,0.0677445117875034,0.159233959155937,0.114609529192798,0.0737116225498763,0.155507435835719,0.0768544095615895,0.16135355211071,-0.0928430901568602,0.30113836187451
10,0.1153,0.119979202899469,0.0262269138523549,0.0685753963232188,0.171383009475719,0.120450686859362,0.0272272573123265,0.067086243129397,0.173815130589326,0.122914146239445,0.612427493168505,0.0692325096036737,0.176595782875216,0.126396224361394,0.0227907390235797,0.0817271966941265,0.171065252028662,0.126727628036298,0.025924452226245,0.0759166353539284,0.177538620718667,0.126839257529385,0.579376319593154,0.076054683990959,0.177623831067812,0.128220061036099,0.0840067181558969,0.172433403916301,0.0857312670863141,0.177893334473085,-0.08382499639585,0.372984831994609
