"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.10808534187992,0.0335038856498249,0.0424189326641146,0.173751751095725,0.108433193222519,0.0338548659354529,0.0420788752875997,0.174787511157439,0.106771961833762,0.919008872913876,0.049811201758845,0.163732721908678,0.106948908372404,0.0404029511894486,0.17349486555536
2,0.1153,0.118762711657561,0.0244699886858965,0.0708024151311017,0.166723008184021,0.101111926144015,0.0263851999232221,0.0493978845696105,0.152825967718419,0.110158219336805,0.741101366527716,0.0642242807491038,0.156092157924505,0.109774262076315,0.0606633744966741,0.158885149655956
3,0.1153,0.0787923027291948,0.0288471640152079,0.0222529002032676,0.135331705255122,0.0750206659796617,0.0297975397108557,0.0166185613184824,0.133422770640841,0.0783950319388091,0.821626144598913,0.027470115898131,0.129319947979487,0.0802718763369649,0.0248748753039809,0.135668877369949
4,0.1153,0.0818094733285974,0.0258575163945573,0.0311296724656112,0.132489274191584,0.075588295638718,0.0268915189891636,0.0228818869303823,0.128294704347054,0.0792993071905935,0.767602630639435,0.0317228032357452,0.126875811145442,0.0863028903059541,0.0371177134117581,0.13548806720015
5,0.1153,0.113046312813156,0.0270251620689898,0.0600779684815777,0.166014657144733,0.110430422492585,0.027352532608446,0.0568204436940733,0.164040401291096,0.113667953915845,0.764244108233599,0.0662996133363498,0.161036294495341,0.118185024684074,0.0667670025540545,0.169603046814094
6,0.1153,0.139655066153207,0.0297568790106351,0.0813326550000467,0.197977477306368,0.133528479162663,0.0300454478355293,0.0746404835056491,0.192416474819678,0.135526058500517,0.779553084228973,0.0872088577583331,0.183843259242701,0.140203746802539,0.0802222766703741,0.200185216934704
7,0.1153,0.130094000960457,0.0287234510510501,0.0737970713886997,0.186390930532214,0.115502795930457,0.0308164251057273,0.0551037125909556,0.175901879269958,0.122195341955327,0.798723063323184,0.0726899735990871,0.171700710311567,0.130589343485715,0.075752491911281,0.185426195060148
8,0.1153,0.104146443291434,0.0259470415007078,0.0532911764446809,0.155001710138188,0.0733401245276756,0.0305535412602402,0.0134562840574462,0.133223964997905,0.0826670164525949,0.843676015537763,0.0303754352520381,0.134958597653152,0.098098915335791,0.0435719709779243,0.152625859693658
9,0.1153,0.133328060749084,0.0254178726288197,0.0835099458329712,0.183146175665197,0.128943931910521,0.0256784266069233,0.0786151405812967,0.179272723239746,0.13300954307978,0.688545188301612,0.0903330701669206,0.175686015992639,0.137004791083666,0.0880106260441376,0.185998956123195
10,0.1153,0.130638592431994,0.0277186217627494,0.0763110920759167,0.184966092788071,0.119588067014551,0.0295218118396946,0.0617263790503809,0.17744975497872,0.124195905774002,0.821631603391234,0.0732706513938703,0.175121160154133,0.135520183178114,0.0815655599166685,0.189474806439559
11,0.1153,0.122195334648326,0.0296756105804257,0.064032206691456,0.180358462605196,0.131090593566618,0.0284396023131157,0.0753499972982688,0.186831189834966,0.141222821732054,0.784242329927839,0.0926149785303054,0.189830664933802,0.133834652634733,0.0787184350539459,0.188950870215521
12,0.1153,0.147557585541675,0.0256533463979828,0.0972779505186986,0.197837220564652,0.137598341469793,0.026888304498591,0.0848982330472079,0.190298449892377,0.145330179685598,0.73735956402494,0.0996281604197775,0.191032198951418,0.153285757436331,0.10454220661759,0.202029308255073
13,0.1153,0.131988586697024,0.0282935390162339,0.0765342692300266,0.187442904164021,0.119534028234249,0.0295930858384217,0.0615326457995403,0.177535410668958,0.124095913535769,0.799138034448603,0.0745648250027065,0.173627002068832,0.131683527691888,0.0752184496666356,0.18814860571714
14,0.1153,0.106071745633869,0.0255930564672388,0.0559102767037815,0.156233214563957,0.0990322469042404,0.0263077020575233,0.0474700983554845,0.150594395452996,0.101982549921051,0.742994982594131,0.0559312437935891,0.148033856048514,0.106356440217041,0.055441625010653,0.15727125542343
15,0.1153,0.133988765142288,0.0257146322923248,0.0835890119736405,0.184388518310935,0.11975931816132,0.0279320652080135,0.0650134763397894,0.174505159982851,0.127054033861311,0.76822491277668,0.0794389604600041,0.174669107262617,0.136182017057386,0.0855334146970166,0.186830619417756
16,0.1153,0.109495327519045,0.0265673495187167,0.0574242792976726,0.161566375740417,0.0977945265023435,0.0302211573297395,0.0385621465649355,0.157026906439752,0.103172273903601,0.820540467471089,0.0523146488284615,0.154029898978741,0.103308991330695,0.0478957897479641,0.158722192913425
17,0.1153,0.12681656628315,0.0278910916259364,0.0721510312068084,0.181482101359492,0.107927168584645,0.0323141964122941,0.044592507427195,0.171261829742095,0.117005064997272,0.844627071901451,0.0646545367125835,0.169355593281961,0.124726704843524,0.0680004697794636,0.181452939907584
18,0.1153,0.124040939964899,0.0268889768704318,0.0713395137177222,0.176742366212076,0.121687226421699,0.0275006563059907,0.0677869305107429,0.175587522332655,0.123750916930125,0.748698930542701,0.077346076446081,0.170155757414169,0.13202661945046,0.0805061690448561,0.183547069856065
19,0.1153,0.09794622544715,0.0246692581797296,0.0495953678895598,0.14629708300474,0.0868001767778653,0.026740156435529,0.0343904332232616,0.139209920332469,0.086927229489152,0.762719448771448,0.0396533882821646,0.13420107069614,0.0943890861522091,0.0437261534733032,0.145052018831115
20,0.1153,0.11818398420146,0.0262084260131483,0.0668164131242071,0.169551555278714,0.109582952996717,0.0272627976212915,0.0561488515411814,0.163017054452252,0.116351304665822,0.738294652210057,0.0705913280338318,0.162111281297813,0.121755099037755,0.0705744516609789,0.172935746414531
21,0.1153,0.12953930261162,0.0252849665461713,0.0799816788308239,0.179096926392416,0.12123558908228,0.0272065375553983,0.0679117553296631,0.174559422834897,0.130593384850386,0.751878963094239,0.0839914439067742,0.177195325793998,0.131899356065538,0.082327629271384,0.181471082859692
22,0.1153,0.113066474701425,0.0298255757471942,0.0546094204187529,0.171523528984097,0.10490787634092,0.030489789954723,0.0451489861334719,0.164666766548368,0.108672251464799,0.831957404060476,0.0571069973285849,0.160237505601012,0.120472362329592,0.0650693786071537,0.17587534605203
23,0.1153,0.0756808936394905,0.0277603620462676,0.0212715838310134,0.130090203447968,0.0673919638328633,0.0287548829922589,0.0110334287883725,0.123750498877354,0.0726545312719032,0.833626689845428,0.0209858137308244,0.124323248812982,0.0817646442445694,0.0295984357428064,0.133930852746332
24,0.1153,0.141316080344988,0.0255657719956856,0.0912080879964813,0.191424072693494,0.127757252905493,0.0271067344432267,0.0746290296582778,0.180885476152709,0.133078465422425,0.715716761488678,0.0887178809554968,0.177439049889354,0.134897609487548,0.0829844007636698,0.186810818211426
25,0.1153,0.142690669793978,0.0313293727038867,0.0812862276361278,0.204095111951828,0.127284747304954,0.032487296658954,0.0636108158983357,0.190958678711572,0.135909290027684,0.818253427705315,0.0851934171458255,0.186625162909543,0.145587602581411,0.0831934227432277,0.207981782419595
26,0.1153,0.112064637154851,0.0262027435501362,0.0607082035004452,0.163421070809257,0.0836626738428218,0.032133745439935,0.0206816900921711,0.146643657593473,0.126977306987114,0.772259452873268,0.0791121701998842,0.174842443774344,0.112365012227156,0.0610690504120012,0.163660974042312
27,0.1153,0.127218328696287,0.0254760679883803,0.0772861529713675,0.177150504421206,0.124890832684088,0.0259230192572674,0.0740826485693058,0.175699016798871,0.125159774560642,0.726687109087831,0.0801192409050263,0.170200308216257,0.127783573660313,0.0769267476990574,0.178640399621569
28,0.1153,0.151838709886689,0.0270753851700511,0.0987719300858386,0.204905489687539,0.150588955725922,0.0269741156400391,0.0977206605566265,0.203457250895217,0.157338947754644,0.695735000267175,0.114216845679299,0.20046104982999,0.160095313422596,0.110746476260568,0.209444150584623
29,0.1153,0.0934180173987883,0.0283071312407863,0.0379370596611986,0.148898975136378,0.0958726489416815,0.0272641784951342,0.0424358410231471,0.149309456860216,0.0981747412792534,0.765881745812528,0.0507048988710246,0.145644583687482,0.100557834870321,0.0502707431026369,0.150844926638006
30,0.1153,0.0828125234331977,0.0322506204190571,0.0196024689327737,0.146022577933622,0.0746373660528775,0.0329689410303744,0.0100194290249188,0.139255303080836,0.0822552991607712,0.888785206469643,0.0271678213398723,0.13734277698167,0.0947452353829297,0.0357572941753901,0.153733176590469
31,0.1153,0.125785339554867,0.0296685113092469,0.0676361259138238,0.18393455319591,0.112128872035263,0.0339697311264458,0.0455494224629199,0.178708321607606,0.118084510848462,0.880037547083153,0.0635392185735539,0.172629803123371,0.121135943003001,0.0575471369861159,0.184724749019885
32,0.1153,0.115871124814705,0.0253596773667154,0.0661670705163869,0.165575179113022,0.117379257447105,0.0254235144364953,0.06755008479114,0.16720843010307,0.120354649892465,0.711834844250346,0.0762346691486998,0.16447463063623,0.120334973528848,0.0723162048448698,0.168353742212826
