"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.144765400324782,0.0487851619189888,0.0392952780664517,0.06774807055205,0.221782730097514,0.110597468453106,0.044715628416938,0.0229564472098313,0.19823848969638,0.141772199222517,0.797320569623936,0.0718839698758286,0.211660428569206,0.149248478859729,0.0508431058715876,0.0736073731377228,0.224889584581735
2,0.1153,0.123766681501476,0.0608974756474091,0.0326673729926178,0.0597398069664086,0.187793556036543,0.0981849601298499,0.0503026115331806,-0.000406346803493121,0.196776267063193,0.116574494283843,0.767026471610879,0.0493416597061443,0.183807328861541,0.126718083477147,0.0604078251685597,0.0588036048222751,0.194632562132018
3,0.1153,0.125504428107461,0.0512762369823104,0.0386228074031463,0.0498051166154672,0.201203739599455,0.119344297106288,0.0380816405442858,0.0447056531672879,0.193982941045289,0.125186198343548,0.729605128689023,0.0612334890958876,0.189138907591209,0.135057580242999,0.056286605565973,0.0628572553076901,0.207257905178309
4,0.1153,0.118034623294513,0.0416162101180658,0.0424892805567827,0.0347571636742009,0.201312082914825,0.11799654090065,0.0428646958247626,0.0339832808758512,0.202009800925449,0.124318701839544,0.789692500489451,0.0550991022328293,0.193538301446259,0.121199204620201,0.0422585380318454,0.0360139575214001,0.206384451719003
5,0.1153,0.0866988287459807,0.0328662427396988,0.0432240456544377,0.00198125599716785,0.171416401494794,0.066847506038055,0.0476309070341914,-0.0265073562999357,0.160202368376046,0.0808326561955507,0.967444815032596,-0.003967620743439,0.16563293313454,0.0910890111074712,0.0345075881829746,0.00544966595392703,0.176728356261015
6,0.1153,0.157328268113065,0.0557283758790293,0.040963630887249,0.0770410268980648,0.237615509328066,0.144015137013679,0.0451999013003725,0.0554249583601835,0.232605315667174,0.147680828686644,0.760203359917934,0.0810460662182349,0.214315591155054,0.159800609680893,0.0589558814234011,0.082376110397136,0.23722510896465
7,0.1153,0.144902272074516,0.0559047292402533,0.0514380288481207,0.0440855880964671,0.245718956052565,0.0942656547266428,0.0650309818673994,-0.0331927276127372,0.221724037066023,0.117466638278458,1.02344591881655,0.0277576481643311,0.207175628392585,0.140018380267531,0.0543278321495891,0.0392482111884791,0.240788549346584
8,0.1153,0.311742510611322,0.157176377851718,0.027079131861754,0.258668387429673,0.364816633792971,0.244900247305517,0.0316226648016032,0.182920963199193,0.306879531411842,0.230551548973817,0.634628787233196,0.174923883111536,0.286179214836099,0.168616389255543,0.0690831080061761,0.0799667454552413,0.257266033055844
9,0.1153,0.108066828023174,0.0532987521411623,0.0332400847224624,0.0429174591240879,0.17321619692226,0.107550583065103,0.0332396024319901,0.0424021594379725,0.172699006692234,0.115865800954591,0.673923477862532,0.0567938035957501,0.174937798313432,0.110935713190331,0.0549983840125286,0.0476042535718472,0.174267172808814
10,0.1153,0.124697061343363,0.0554241515704595,0.0427498404509433,0.0409089137146809,0.208485208972046,0.111624173370655,0.0452879142740222,0.0228614924586338,0.200386854282676,0.121375718606197,0.82265800513745,0.0492665651147059,0.193484872097688,0.133652320913118,0.0607044635437283,0.0531015594756687,0.214203082350568
11,0.1153,0.123998111306051,0.0598565027750586,0.0348717238841269,0.0556507884143376,0.192345434197765,0.112647490185119,0.0365635529203926,0.0409842433143257,0.184310737055913,0.119049076004175,0.728582138900698,0.0551860357650276,0.182912116243321,0.126531867118788,0.0612776795500397,0.0589069904885708,0.194156743749005
12,0.1153,0.114760639955808,0.0577283415983865,0.0385088752398719,0.039284631400513,0.190236648511103,0.101878170632965,0.0394678292883749,0.0245226466797752,0.179233694586155,0.112111840770733,0.769607623560057,0.044652758249265,0.179570923292202,0.114041580540745,0.0569079547733663,0.0379732626833799,0.19010989839811
