"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
1,0.1153,0.163241715266098,-8.00819063703665e-05,0.0182640950212861,0.12744474681416,0.199038683718036,0.169006242305617,0.0203503961650158,0.129120198751064,0.20889228586017,0.170358793753126,0.654218753308425,0.129809895323497,0.210907692182754,0.163566788508605,0.000600896229893629,0.126749847848011,0.200383729169199
2,0.1153,0.0911772739404576,-0.0091946955730765,0.0175768108392833,0.0567273577323892,0.125627190148526,0.08945157540453,0.018722034079465,0.0527570628914472,0.126146087917613,0.0879992036492403,0.594645825423084,0.0511426735440633,0.124855733754417,0.0916993273271073,-0.00114349573605352,0.0577123378403374,0.125686316813877
3,0.1153,0.12245079350112,0.00139423240858253,0.0178218664326356,0.0875205771558709,0.157381009846369,0.119225935990008,0.0183321736263393,0.0832955359240482,0.155156336055968,0.119233637982213,0.579702731065274,0.0833032904608811,0.155163985503545,0.119981913990007,4.48580111779616e-05,0.0849685797458868,0.154995248234127
4,0.1153,0.140357449970554,0.00518958387552691,0.0183048428100267,0.104480617320235,0.176234282620873,0.135406396342918,0.0186146424349091,0.0989223675854047,0.17189042510043,0.135619312405304,0.588640030035624,0.0991350253547993,0.172103599455809,0.139802871002124,0.000615117139185112,0.104816215024951,0.174789526979298
5,0.1153,0.114499080885043,-0.000346363251445206,0.0174595965912721,0.0802789003815517,0.148719261388535,0.118707627378984,0.0181174271839626,0.08319812260589,0.154217132152077,0.118725950603168,0.573079229583368,0.0832061319568954,0.154245769249441,0.124920611978634,0.00119488655472146,0.090117266607858,0.15972395734941
6,0.1153,0.126788213760727,0.00631379193878005,0.0178353860093567,0.0918314995320181,0.161744927989435,0.125259703354211,0.0192072385594132,0.0876142075352917,0.162905199173129,0.126820678015233,0.60472673010024,0.0893393269648212,0.164302029065646,0.127109201311062,-7.88273340261155e-05,0.0930964107438815,0.161121991878242
7,0.1153,0.121575505364269,6.81045769292205e-05,0.0174940046221721,0.0872878863594341,0.155863124369103,0.121400569969527,0.0176334014743007,0.0868397381549625,0.155961401784092,0.121399719713982,0.557626018552691,0.0868377010105046,0.155961738417459,0.12077016692397,0.000898258426905948,0.0863858121656427,0.155154521682298
8,0.1153,0.12379628088949,0.00388927964008045,0.0158867816046448,0.092658761114133,0.154933800664848,0.123834197406204,0.0166544344192952,0.0911921057615011,0.156476289050907,0.124222663807586,0.526976365443317,0.0915603302851743,0.156884997329997,0.121089361518402,0.000341732634261854,0.0904827825636825,0.151695940473121
9,0.1153,0.138960267548079,0.00170822604973787,0.017593870661623,0.104476914702642,0.173443620393516,0.139371368649899,0.0179873650769383,0.104116780922326,0.174625956377472,0.139943729531965,0.568933379258362,0.10468087335105,0.17520658571288,0.138781558502967,-0.000306430975424928,0.104752382365328,0.172810734640606
10,0.1153,0.123764747521336,0.00234280875796209,0.0182600551491652,0.0879756970732575,0.159553797969415,0.119940614582424,0.0213547754660672,0.0780860237709923,0.161795205393855,0.119888110781629,0.675459778591833,0.0780226799652373,0.16175354159802,0.121697834878759,0.00122471487587009,0.0853617255136204,0.158033944243897
11,0.1153,0.101201457836186,0.00157465651310651,0.0175404425544811,0.0668228221565092,0.135580093515863,0.0927547768027026,0.0189543377271462,0.0556049575066872,0.129904596098718,0.0925034553072204,0.599801859977322,0.0553273508694793,0.129679559744961,0.0994638199738679,-0.000235612097897834,0.0656479898572608,0.133279650090475
12,0.1153,0.111282083982039,0.00285181318448853,0.0196535134076787,0.0727619055333141,0.149802262430765,0.109451949756863,0.0208383945268867,0.0686094469885281,0.150294452525197,0.109692617808556,0.659046287960335,0.0688445056812519,0.150540729935859,0.110317618654165,-0.000868058395990382,0.0695684947277909,0.151066742580539
13,0.1153,0.0959318471644761,-0.00578897905607303,0.0170790473229191,0.0624575295212994,0.129406164807653,0.0981089520595629,0.0175297808226851,0.0637512129902192,0.132466691128907,0.0974590495999208,0.5541373214612,0.0631132625824038,0.131804836617438,0.0960249543248062,0.000339111252005028,0.0632201520487412,0.128829756600871
